E,U,Frekans,Kaynak_IDler
Vikipedi,(https://tr.wikipedia.org/wiki/Vikipedi),1,"Türkçe Vikipedi#1: Türkçe Vikipedi , Vikipedi 'nin 5 Aralık 2002'de başlatılan Türkçe sürümüdür."
Türkçe,(https://tr.wikipedia.org/wiki/T%C3%BCrk%C3%A7e),1,"DNS#1: DNS ( İngilizce : Domain Name System , Türkçe : Alan Adı Sistemi ), internet uzayını bölümlemeye, bölümleri adlandırmaya ve bölümler arası iletişimi organize etmeye yarayan, bilgisayar, servis, internet veya özel bir ağa bağlı herhangi bir kaynak için hiyerarşik dağıtılmış bir adlandırma sistemidir. | Türkçe Vikipedi#1: Türkçe Vikipedi , Vikipedi 'nin 5 Aralık 2002'de başlatılan Türkçe sürümüdür."
UTC,(https://tr.wikipedia.org/wiki/E%C5%9Fg%C3%BCd%C3%BCml%C3%BC_Evrensel_Zaman),1,Türkçe Vikipedi#2: Madde sayısına göre 25. en büyük Vikipedi sürümüdür. 20 Şubat 2026 günü saat 22.50 itibarıyla ( UTC ) 668.108 maddeye ulaşmıştır.
Altın Örümcek Web Ödülleri,(https://tr.wikipedia.org/wiki/Alt%C4%B1n_%C3%96r%C3%BCmcek_Web_%C3%96d%C3%BClleri),1,Türkçe Vikipedi#5: Kasım 2006'da Altın Örümcek Web Ödülleri 'nin fen kategorisinde aday olarak gösterildi.
fen,(https://tr.wikipedia.org/wiki/Fen_bilimleri),1,Türkçe Vikipedi#5: Kasım 2006'da Altın Örümcek Web Ödülleri 'nin fen kategorisinde aday olarak gösterildi.
İstanbul Teknik Üniversitesi,(https://tr.wikipedia.org/wiki/%C4%B0stanbul_Teknik_%C3%9Cniversitesi),1,Türkçe Vikipedi#7: Ödül 25 Ocak 2007'de İstanbul Teknik Üniversitesi 'nde yapılan bir törenle verildi.
HTTP,(https://tr.wikipedia.org/wiki/HTTP),1,Türkçe Vikipedi#9: Bu engelleme URL tabanlı olup sadece HTTP bağlantılar üzerinde etkili olmuştur.
Wikimedia Vakfı,(https://tr.wikipedia.org/wiki/Wikimedia_Vakf%C4%B1),1,Türkçe Vikipedi#10: Vikipedi ve kardeş projelerinde 2013 yılından beri kayıtlı kullanıcılar için HTTPS sistemi güvenlik nedeniyle zorunlu olduğu için bu engelleme onları etkilememiştir. 12 Haziran 2015 tarihinde Wikimedia Blog'u üzerinde yapılan duyuruda Wikimedia Vakfı 2011 yılından beri üzerinde çalıştıkları HTTPS şifreleme sisteminin tüm projelerde ve tüm kullanıcılar için aktifleştirildiğini kamuoyuna açıkladı.
İnsan penisi,(https://tr.wikipedia.org/wiki/%C4%B0nsan_penisi),1,Türkçe Vikipedi#12: İnsan penisi
Vikipedi'ye erişimi engelledi,(https://tr.wikipedia.org/wiki/Vikipedi%27ye_T%C3%BCrkiye%27den_eri%C5%9Fimin_engellenmesi),1,"Türkçe Vikipedi#13: 29 Nisan 2017'de Türkiye hükûmeti, Vikipedi'ye erişimi engelledi ."
Türkiye-IŞİD ilişkileriyle,(https://tr.wikipedia.org/wiki/T%C3%BCrkiye-I%C5%9E%C4%B0D_%C3%A7at%C4%B1%C5%9Fmas%C4%B1),1,"Türkçe Vikipedi#14: Sitenin, Türkiye-IŞİD ilişkileriyle ilgili maddeler nedeniyle engellendiği iddia edilse de, engel nedeni tam olarak belirtilmemiştir."
