E,U,Frekans,Kaynak_IDler
ICANN,(https://tr.wikipedia.org/wiki/%C4%B0nternet_Tahsisli_Say%C4%B1lar_ve_%C4%B0simler_Kurumu),3,".au#3: Yaklaşık beş yıllık süreçten sonra 1990 yılında, internet sektöründe kendini düzenleyici kurum olarak .au Domain Administration açılmıştır. 2001 yılında ICANN 'dan onay aldı. 1 Temmuz 2002 tarihinde süreli etki alanı kaydı için yeni bir rekabet rejimi başladı. | .kp#3: Ancak, ICANN bazı gereksinimleri karşılamadığı için başvuruyu reddetti. | .com#4: Bu alan adı başlangıçta Amerika Birleşik Devletleri Savunma Bakanlığı'nın bünyesindeyken günümüzde Verisign tarafından yönetilmektedir ve ABD yasasının nihai yargı yetkisi kapsamındadır. Verisign Kayıtları, ICANN tarafından akredite edilmiş kayıt şirketleri aracılığıyla gerçekleştirilmektedir. | .net#7: Alan adı idaresinden sorumlu kurum olan ICANN , sözleşme bitimi sonrasında alan adı işinin idaresini üstlenecek yeni şirketi aramaya başladı. Verisign sözleşmeyi yeniden kazandı ve .net alan adının yönetimini altı yıllığına daha almış oldu. 30 Haziran 2011 tarihinde Verisign ile olan sözleşme altı yıllığına yenilendi. | .net#8: Bu durumun yasal dayanağınun sebebi, Verisign'ın ICANN gerekliliklerini karşıladığı sürece yenileme yapılacağına dair ICANN kurulu tarafından onaylanmış olan karardır."
.com,(https://tr.wikipedia.org/wiki/.com),3,"DNS#39: En üste .com , .org , .net , .int , .edu , .info , .biz , .aero , .travel , .jobs , .gov , .mil gibi "" jenerik "" üst düzey alanlarla ( gTLD ) .tr , .us , .de , .uk , .jp , .az gibi ülke alanlarından ( CcTLD ) oluşur. | .us#1: .us , Amerika Birleşik Devletleri için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Ülkede en çok kullanılan CcTLD .com , .net , .org ikinci düzey alan adlarıdır. | .uk#2: Orijinal gTLD 'lerden ( .com , .net , .org ) ve .us 'ten 7 ay sonra; Temmuz 1985'te kaydedilmiştir. | .uk#3: Nisan 2021'de dünya çapında 10 milyon kayıtla en popüler 5. üst düzey alan adı idi ( .com , .cn , .de ve .net 'ten sonra). | .org#5: Diğer ilk kurulan üst seviye alan adları .com , .us , .edu , .gov , .mil ve .net idi. The MITRE Corporation, Temmuz 1985'te mitre.org ile ilk .org alanını kaydettiren kuruluştu. | .net#3: Ancak bu konudaki kısıtlamalar uygulanmamış ve bu alan adı .com gibi genel amaçlı faaliyet göstermeye başlamıştır. | .net#5: .net, Ocak 1985'te oluşturulduğu için RFC 920 'de bahsedilmemesine rağmen başlıca üst seviye alan adlarından biridir (Diğer beşi: .com , .edu , .gov , .mil ve .org ). 2024 itibarıyla yaklaşık 13 milyon alan adı ile .com , .cn ve .de 'den sonra en popüler üst seviye alan adıdır ."
Verisign,(https://tr.wikipedia.org/wiki/Verisign),2,".org#6: Bu TLD , 1 Ocak 2003'ten beri Public Interest Registry tarafından işletilmektedir, bu görev Verisign 'in bir bölümü olan VeriSign Global Registry Services'den devralınmıştır. | .com#4: Bu alan adı başlangıçta Amerika Birleşik Devletleri Savunma Bakanlığı'nın bünyesindeyken günümüzde Verisign tarafından yönetilmektedir ve ABD yasasının nihai yargı yetkisi kapsamındadır. Verisign Kayıtları, ICANN tarafından akredite edilmiş kayıt şirketleri aracılığıyla gerçekleştirilmektedir. | .com#24: Verisign Aralık 2011 itibarıyla yaklaşık 100 milyon .com alan adının kaydedilmiş olduğunu duyurmuştur. Verisign Mart 2009 itibarıyla alan adlarının 926 akredite kayıt şirketi tarafından sunulmakta olduğunu bildirmiştir. | .net#6: Network Solutions 'ı bünyesine katmasının ardından .net'in idaresini üstlenen Verisign , 30 Haziran 2005'te geçerliliğini yitiren yönetim sözleşmesine sahipti. | .net#7: Alan adı idaresinden sorumlu kurum olan ICANN , sözleşme bitimi sonrasında alan adı işinin idaresini üstlenecek yeni şirketi aramaya başladı. Verisign sözleşmeyi yeniden kazandı ve .net alan adının yönetimini altı yıllığına daha almış oldu. 30 Haziran 2011 tarihinde Verisign ile olan sözleşme altı yıllığına yenilendi."
DNS,(https://tr.wikipedia.org/wiki/DNS),1,".tk#4: Adın kendisine ek olarak, kullanıcılar web trafiğini HTML çerçevelerini ve e-posta trafiğini kullanarak, kullanıcı oturumu başına maksimum 250 adresle iletebilir, kendi üçüncü taraf sunucuları aracılığıyla dot.tk sunucularını kullanarak tam DNS kullanabilir. | .kz#4: Alan adının DNS adı ""xn--80ao21a"" şeklindedir. | .net#1: .net alan adı, DNS 'te bir genel üst seviye alan adıdır (gTLD)."
genel üst seviye alan adıdır,(https://tr.wikipedia.org/wiki/Genel_%C3%BCst_seviye_alan_ad%C4%B1),1,".ie#16: .irish alan adı, Kaliforniya merkezli Dot-Irish LLC şirketinin piyasaya sürdüğü bir genel üst seviye alan adıdır . | .org#1: .org alan adı, İnternet 'te kullanılan bir genel üst seviye alan adıdır (gTLD) ve İngilizce ""organization"" kelimesinin kısaltmasıdır. 1985'te kurulan ilk alan adlarından biridir ve 2003'ten beri Public Interest Registry tarafından işletilmektedir. | .net#1: .net alan adı, DNS 'te bir genel üst seviye alan adıdır (gTLD)."
İnternet,(https://tr.wikipedia.org/wiki/%C4%B0nternet),1,"DNS#2: İnternet ağını oluşturan her birim sadece kendine ait bir IP adresine sahiptir. | IP adresi#3: İnternet 'e bağlanan her cihaza , İnternet Servis Sağlayıcısı tarafından bir ""public"" IP adresi atanır ve internete bağlı cihazlar birbirleriyle bu ""public"" IP adresleri üzerinden ulaşırlar. | .tf#1: .tf , Fransız Güney ve Antarktika Toprakları 'nın İnternet ülke kodu üst seviye alan adıdır ( ccTLD ). .fr , .pm , .re , .wf ve .yt ile birlikte AFNIC tarafından yönetilmektedir. 23 Ekim 2004'ten önce bu alan adı, Cambridge , Birleşik Krallık merkezli Adamsnames tarafından yönetiliyordu. | .org#1: .org alan adı, İnternet 'te kullanılan bir genel üst seviye alan adıdır (gTLD) ve İngilizce ""organization"" kelimesinin kısaltmasıdır. 1985'te kurulan ilk alan adlarından biridir ve 2003'ten beri Public Interest Registry tarafından işletilmektedir. | .to#1: .to alan adı, Tonga Krallığı 'na ait İnternet ülke kodu üst seviye alan adıdır (ccTLD). | ARPANET#9: Çok sayıda bilgisayar kullanıcısının birbirleriyle haberleşebilmelerini öngören bir bilgisayar ağı hakkındaki ilk düşünceler Ağustos 1962'de Bolt, Beranek ve Newman (BBN)'den J.C.R. Licklider tarafından ""Galaksilerarası Bilgisayar Ağı"" kavramına atfen ortaya atılmıştır. İnternet 'in günümüzde sahip olduğu tüm özellikler bu çalışma sırasında belirlenmiştir. | GoogleCard#5: İnternet Bulut bilişim Bilgisayar yazılımı Bilgisayar donanımı Yapay zekâ Reklam | .net#2: İngilizce ""network"" (ağ) kelimesinden türemiştir ve temelde İnternet hizmet sağlayıcıları ve diğer altyapı şirketleri gibi ağ teknolojileriyle ilgili kurumların kullanması için tasarlanmıştır."
.edu,(https://tr.wikipedia.org/wiki/.edu),1,"DNS#39: En üste .com , .org , .net , .int , .edu , .info , .biz , .aero , .travel , .jobs , .gov , .mil gibi "" jenerik "" üst düzey alanlarla ( gTLD ) .tr , .us , .de , .uk , .jp , .az gibi ülke alanlarından ( CcTLD ) oluşur. | .org#5: Diğer ilk kurulan üst seviye alan adları .com , .us , .edu , .gov , .mil ve .net idi. The MITRE Corporation, Temmuz 1985'te mitre.org ile ilk .org alanını kaydettiren kuruluştu. | .com#6: .com alan adı, Alan Adı sistemi 1985 yılının Ocak ayında uygulamaya geçtiğinde .edu , .gov , .mil , .net , .org ve arpa alanlarıyla birlikte ilk üst seviye alan adlarından ( TLD ) biriyken daha sonraki süreçte en büyük üst seviye alan adı haline gelmiştir. | .net#5: .net, Ocak 1985'te oluşturulduğu için RFC 920 'de bahsedilmemesine rağmen başlıca üst seviye alan adlarından biridir (Diğer beşi: .com , .edu , .gov , .mil ve .org ). 2024 itibarıyla yaklaşık 13 milyon alan adı ile .com , .cn ve .de 'den sonra en popüler üst seviye alan adıdır ."
.gov,(https://tr.wikipedia.org/wiki/.gov),1,"DNS#39: En üste .com , .org , .net , .int , .edu , .info , .biz , .aero , .travel , .jobs , .gov , .mil gibi "" jenerik "" üst düzey alanlarla ( gTLD ) .tr , .us , .de , .uk , .jp , .az gibi ülke alanlarından ( CcTLD ) oluşur. | .org#5: Diğer ilk kurulan üst seviye alan adları .com , .us , .edu , .gov , .mil ve .net idi. The MITRE Corporation, Temmuz 1985'te mitre.org ile ilk .org alanını kaydettiren kuruluştu. | .com#6: .com alan adı, Alan Adı sistemi 1985 yılının Ocak ayında uygulamaya geçtiğinde .edu , .gov , .mil , .net , .org ve arpa alanlarıyla birlikte ilk üst seviye alan adlarından ( TLD ) biriyken daha sonraki süreçte en büyük üst seviye alan adı haline gelmiştir. | .net#5: .net, Ocak 1985'te oluşturulduğu için RFC 920 'de bahsedilmemesine rağmen başlıca üst seviye alan adlarından biridir (Diğer beşi: .com , .edu , .gov , .mil ve .org ). 2024 itibarıyla yaklaşık 13 milyon alan adı ile .com , .cn ve .de 'den sonra en popüler üst seviye alan adıdır ."
RFC,(https://tr.wikipedia.org/wiki/Yorumlar_%C4%B0%C3%A7in_Talep),1,".uk#5: Ekim 1984'te RFC 920 , ISO 3166-1 listesindeki ilgili iki harfli koda dayalı ülke kodlarını kullanarak ccTLD 'lerin oluşturulmasını kararlaştırdı. ""GB"", Birleşik Krallık'ın ISO 3166 ülke koduydu ancak Birleşik Krallık Adlandırma Komitesi, ISO'dan türetilen listenin derlenmesinden birkaç ay önce ""UK""yi üst düzey alan adı olarak tanımlamıştı. | .net#5: .net, Ocak 1985'te oluşturulduğu için RFC 920 'de bahsedilmemesine rağmen başlıca üst seviye alan adlarından biridir (Diğer beşi: .com , .edu , .gov , .mil ve .org ). 2024 itibarıyla yaklaşık 13 milyon alan adı ile .com , .cn ve .de 'den sonra en popüler üst seviye alan adıdır ."
920,(https://tools.ietf.org/html/rfc920),1,".uk#5: Ekim 1984'te RFC 920 , ISO 3166-1 listesindeki ilgili iki harfli koda dayalı ülke kodlarını kullanarak ccTLD 'lerin oluşturulmasını kararlaştırdı. ""GB"", Birleşik Krallık'ın ISO 3166 ülke koduydu ancak Birleşik Krallık Adlandırma Komitesi, ISO'dan türetilen listenin derlenmesinden birkaç ay önce ""UK""yi üst düzey alan adı olarak tanımlamıştı. | .net#5: .net, Ocak 1985'te oluşturulduğu için RFC 920 'de bahsedilmemesine rağmen başlıca üst seviye alan adlarından biridir (Diğer beşi: .com , .edu , .gov , .mil ve .org ). 2024 itibarıyla yaklaşık 13 milyon alan adı ile .com , .cn ve .de 'den sonra en popüler üst seviye alan adıdır ."
