E,U,Frekans,Kaynak_IDler
Arjantin | Arjantin millî futbol takımı,(https://tr.wikipedia.org/wiki/Arjantin_mill%C3%AE_futbol_tak%C4%B1m%C4%B1),5,"Diego Maradona#6: Kulüp seviyesinde en ünlü olduğu Napoli takımında çok sayıda övgü almıştır. Arjantin adına 91 millî maça çıkmış ve 34 gol atmıştır. | Diego Maradona#17: Kasım 2008 tarihinde Arjantin teknik direktörlüğüne getirilmiş ve 15 ay sonra 2010 FIFA Dünya Kupası 'nda istifa etmiştir. | Diego MaradonaCard#21: Arjantin | Diego MaradonaCard#24: Arjantin | Diego Maradona#77: Arjantin millî futbol takımı teknik direktörü Alfio Basile 'in 2008 yılında istifa etmesiyle, boşalan koltuğa, Diego Maradona geçti."
Boca Juniors,(https://tr.wikipedia.org/wiki/CA_Boca_Juniors),5,"Diego Maradona#5: Maradona profesyonel futbol kariyeri boyunca Argentinos Juniors , Boca Juniors , Barcelona , Napoli , Sevilla ve Newell's Old Boys takımlarında oynamıştır. | Diego Maradona#25: 20 Ekim 1976 tarihinde Maradona Argentinos Juniors adlı kulüple ilk profesyonel sözleşmesini imzalarken 16 yaşına girmesine on gün kalmıştı. 1976 ve 1981 yılları arasında çıktığı 167 maçta 115 gole imza attıktan sonra 1 milyon £ karşılığında Boca Juniors kulübüne transfer oldu. 1981 sezonunun yarısında Boca Juniors'a transfer olan Maradona, 1982 yılında ilk kez lig şampiyonluğu madalyasını aldı. | Diego Maradona#39: İspanya'dan Real Madrid ve Fransa'dan Marseille kulüplerinin ilgilenmesine rağmen Sevilla 'yı seçti ve bir yıl orada oynadı. 1993 yılında Newell's Old Boys 'a transfer oldu. 1995 yılında Boca Juniors 'a geri döndü ve iki yıl orada oynadı. | Diego MaradonaCard#13: Boca Juniors | Diego MaradonaCard#18: Boca Juniors"
Argentinos Juniors,(https://tr.wikipedia.org/wiki/AA_Argentinos_Juniors),5,"Diego Maradona#5: Maradona profesyonel futbol kariyeri boyunca Argentinos Juniors , Boca Juniors , Barcelona , Napoli , Sevilla ve Newell's Old Boys takımlarında oynamıştır. | Diego Maradona#24: Kısa bir süre sonra Los Cebollitas adlı kulübe geçti ve orada üç sezon geçirdikten sonra Buenos Aires'in Argentinos Juniors kulübünün altyapısına girdi. 12 yaşındayken devre aralarında top ile cambazlık yaparak seyircileri eğlendiriyordu. | Diego Maradona#76: Maradona, Argentinos Juniors 'tan takım arkadaşı Carlos Fren ile birlikte antrenörlüğe başladı. Corrientes 'in Mandiyú takımını ve Racing adlı takımı çalıştırdı ve küçük başarılar elde etti. Mayıs 2011 tarihinde Birleşik Arap Emirlikleri'nin Dubai kulübü Al Wasl 'da teknik direktörlüğe başlayan Maradona, 10 Temmuz 2012 tarihinde takımdan kovuldu. | Diego MaradonaCard#10: Argentinos Juniors | Diego MaradonaCard#12: Argentinos Juniors"
Napoli,(https://tr.wikipedia.org/wiki/SSC_Napoli),5,"Diego Maradona#4: Transferde iki kez en yüksek ücret rekoru kıran iki futbolcudan ilkidir, ikincisi Ronaldo 'dur. Barcelona 'ya 5 milyon £ karşılığında transfer olup rekor kırdıktan sonra Napoli 'ye 6,9 milyon £'a transfer olarak yeni rekor kırmıştır. | Diego Maradona#5: Maradona profesyonel futbol kariyeri boyunca Argentinos Juniors , Boca Juniors , Barcelona , Napoli , Sevilla ve Newell's Old Boys takımlarında oynamıştır. | Diego Maradona#6: Kulüp seviyesinde en ünlü olduğu Napoli takımında çok sayıda övgü almıştır. Arjantin adına 91 millî maça çıkmış ve 34 gol atmıştır. | Diego Maradona#30: İtalya Serie A takımı Napoli 'ye 6.9m £ ($10.48m) karşılığında transfer olarak yeni rekor kırdı. | Diego MaradonaCard#15: Napoli"
1986 | 1986 Dünya Kupası | 1986 FIFA Dünya Kupası,(https://tr.wikipedia.org/wiki/1986_FIFA_D%C3%BCnya_Kupas%C4%B1),5,"Diego Maradona#44: Diego Maradona, Arjantin millî takımı ile çıktığı 91 maçta 34 gol attı. İlk millî maçına 27 Şubat 1977 tarihinde daha 16 yaşındayken, Macaristan karşısında çıktı. 18 yaşındayken Dünya Genç Şampiyonası 'nda oynadı ve finalde karşılaştıkları Sovyetler Birliği maçında parladı ve 3-1 kazandılar. 2 Haziran 1979 tarihinde Maradona, A millî takımdaki ilk golünü Hampden Park 'ta 3-1 kazandıkları İskoçya maçında attı. 1979 ve 1986 yıllarında FIFA 20 Yaş Altı Dünya Kupası ve FIFA Dünya Kupası 'nda Altın Top alarak bunu başaran tek futbolcu oldu. | Diego Maradona#7: Dört FIFA Dünya Kupası turnuvasında oynamıştır ve Arjantin adına kaptanlık yaptığı 1986 Dünya Kupası 'nda, Batı Almanya'yı finalde 3-2 yenip kupaya uzanmışlardır. | Diego Maradona#41: Maradona ayrıca 1986 FIFA Dünya Kupası öncesinde Tottenham Hotspur formasıyla Internazionale karşısında bir hazırlık maçına çıktı. | Diego Maradona#50: Maradona'nın kaptanlık yaptığı Arjantin millî takımı, 1986 FIFA Dünya Kupası 'nda Meksika'da oynanan finalde Batı Almanya 'yı yenerek kupanın sahibi oldu. 1986 Dünya Kupası boyunca Maradona'nın turnuvanın en dinamik oyuncusu olduğu söylendi. | Diego Maradona#130: Maradona, Yo Soy El Diego adlı 2006 otobiyografisinde, 1986 FIFA Dünya Kupası 'nda İngiltere'ye karşı Tanrı'nın Eli (""Hand of God"") golünü Falkland Savaşı 'na bağladı: ""Maçtan önce futbolun Malvinas (Falkland Adaları'nın İspanyolca adı) Savaşı ile hiçbir ilgisi olmadığını söylemiştik."
Barcelona,(https://tr.wikipedia.org/wiki/FC_Barcelona),4,"Diego Maradona#4: Transferde iki kez en yüksek ücret rekoru kıran iki futbolcudan ilkidir, ikincisi Ronaldo 'dur. Barcelona 'ya 5 milyon £ karşılığında transfer olup rekor kırdıktan sonra Napoli 'ye 6,9 milyon £'a transfer olarak yeni rekor kırmıştır. | Diego Maradona#5: Maradona profesyonel futbol kariyeri boyunca Argentinos Juniors , Boca Juniors , Barcelona , Napoli , Sevilla ve Newell's Old Boys takımlarında oynamıştır. | Diego Maradona#26: 1982 FIFA Dünya Kupası 'ndan sonra Haziran ayında Maradona, İspanyol kulübü Barcelona 'ya 5 milyon £ ($7.6m) karşılığında transfer oldu ve en pahalı oyuncu unvanını aldı. 1983 yılında César Luis Menotti teknik direktörlüğünde Maradonalı Barcelona, Real Madrid 'i eleyerek Copa del Rey 'i, Athletic Bilbao 'yu yenerek Supercopa de España 'yı aldı. Ancak, Maradona'nın Barcelona macerası kısa sürdü. | Diego MaradonaCard#14: Barcelona"
Buenos Aires,(https://tr.wikipedia.org/wiki/Buenos_Aires),4,"Diego Maradona#18: Diego Armando Maradona, 30 Ekim 1960 tarihinde Corrientes 'ten fakir bir ailenin çocuğu olarak Buenos Aires , Lanús 'ta Evita Hastanesi'nde dünyaya geldi. | Diego Maradona#87: Roma Katoliği bir ailenin çocuğu olarak dünyaya gelen Maradona'nın ebeveynleri Diego Maradona Senior ve Dalma Salvadora Franco idi. Maradona, uzun süredir nişanlısı Claudia Villafañe ile Buenos Aires 'te 7 Kasım 1984'te evlendi ve bu evliliğinden Dalma Nerea (2 Nisan 1987 doğumlu) ve Gianinna Dinorah (16 Mayıs 1989 doğumlu) adında iki kızı doğdu. | Diego Maradona#107: 29 Mart 2007'de Maradona, Buenos Aires 'teki bir hastaneye kaldırıldı. | Diego MaradonaCard#3: Buenos Aires , Arjantin"
Arjantin,(https://tr.wikipedia.org/wiki/Arjantin),3,"Diego Maradona#111: Maradona, Arjantin ve Nijerya arasındaki 2018 Dünya Kupası maçında, televizyon kameralarının önünde son derece dengesiz davranırken, tribünlerindeki koltuğunun önündeki camda bol miktarda beyaz kalıntı görüldü. | Diego Maradona#114: Daha önce neoliberal Arjantin Cumhurbaşkanı Carlos Menem ve Harvard Üniversitesi 'nden eğitim almış ekonomist Domingo Cavallo 'ya verdiği destekte sesini duyuran Maradona, sol görüş ideolojilerine sempati gösterdi. | Diego MaradonaCard#3: Buenos Aires , Arjantin"
Newell's Old Boys,(https://tr.wikipedia.org/wiki/CA_Newell%27s_Old_Boys),3,"Diego Maradona#5: Maradona profesyonel futbol kariyeri boyunca Argentinos Juniors , Boca Juniors , Barcelona , Napoli , Sevilla ve Newell's Old Boys takımlarında oynamıştır. | Diego Maradona#39: İspanya'dan Real Madrid ve Fransa'dan Marseille kulüplerinin ilgilenmesine rağmen Sevilla 'yı seçti ve bir yıl orada oynadı. 1993 yılında Newell's Old Boys 'a transfer oldu. 1995 yılında Boca Juniors 'a geri döndü ve iki yıl orada oynadı. | Diego MaradonaCard#17: Newell's Old Boys"
Almanya | Batı Almanya,(https://tr.wikipedia.org/wiki/Almanya_mill%C3%AE_futbol_tak%C4%B1m%C4%B1),3,"Diego Maradona#50: Maradona'nın kaptanlık yaptığı Arjantin millî takımı, 1986 FIFA Dünya Kupası 'nda Meksika'da oynanan finalde Batı Almanya 'yı yenerek kupanın sahibi oldu. 1986 Dünya Kupası boyunca Maradona'nın turnuvanın en dinamik oyuncusu olduğu söylendi. | Diego Maradona#58: Yarı finalde Belçika 'ya iki gol daha attı. Finalde Batı Almanya defanslarının uyguladığı çifte markaja rağmen Jorge Burruchaga 'ya gol pası vererek takımının galibiyet golüne katkıda bulundu. Arjantin'in 3-2 yendiği maçta , Azteca Stadyumu 'nda 115.000 seyirci vardı. | Diego Maradona#86: Meksika'yı da 3-1 ile geçen Arjantin çeyrek finalde Almanya 'ya 4-0 yenildi ve turnuva dışı kalarak beşinci oldu. Almanya yenilgisinden sonra Maradona Arjantin teknik direktörlüğü geleceği hakkında ""Yarın bırakabilirim"" dedi. 15 Temmuz 2010 tarihinde Arjantin Futbol Federasyonu 2014 yazındaki Dünya Kupası 'na kadar geçerli olabilecek dört yıllık bir sözleşme teklifi yapabileceğini açıkladı, ancak 27 Temmuz'da AFA sözleşme yenilememe kararı aldı. 29 Temmuz 2010 tarihinde Maradona AFA başkanı Julio Grondona ve millî takımlar direktörü Carlos Bilardo 'nun kendisini görevden aldığını söyledi."
