E,U,Frekans,Kaynak_IDler
Manchester United | United,https://tr.wikipedia.org/wiki/Manchester_United_FC,13,"David Beckham#7: Beckham, kariyerine Manchester United 'te başladı, 1992'de 17 yaşında profesyonel futbolcu oldu. Onun zamanında 6 defa Premier League , 2 defa FA Cup ve 1999 yılında UEFA Şampiyonlar Ligi kazanıldı. | David Beckham#8: Daha sonra Manchester United 'tan Real Madrid 'e geçti, orada 4 sezon oynadı. | David Beckham#20: Beckham'ın ailesi Manchester United takımının fanatiğiydiler, bazen Old Trafford 'a Manchester United maçlarını seyretmeye giderlerdi. | David Beckham#21: Beckham, Mayıs 1992'de Crystal Palace 'a karşı FA Youth Cup 'ı Manchester United takımıyla kazanmıştır. | David Beckham#23: O yıl Brighton & Hove Albion FC karşısında ilk Manchester United maçına çıktı ve sözleşme imzaladı. | David Beckham#29: Oradan döndükten sonra 2 Nisan 1995'te tekrar Manchester United 'a döndü. | David Beckham#32: Beckham genç yetenekler grubunun parçası olarak, Ferguson Manchester United için 1990'larda Nicky Butt , Gary ve Phil Neville'i getirdi. | David Beckham#35: Düzenli olarak Manchester United 'de oynamasına rağmen Euro 96 'da da takıma zarar verecek hiçbir davranışta bulunmadı. | David Beckham#41: 1998-1999 sezonunda, hem Premier League 'i, hem FA Cup 'u, hem de Şampiyonlar Ligi 'ni kazanarak ingiliz futbolunda bir ilke imza attılar. 1998 yılındaki Dünya Kupası 'nda kötü oynadı ve İngiltere 'den ayrılma durumu söz konusu oldu, fakat o Manchester United 'de kaldı. | David Beckham#47: Beckham'ın en sevdiği numaralar olan 7 ( Manchester United ) ve 23'ün ( Real Madrid , Los Angeles Galaxy ) Milan'da Alexandre Pato ve kaptan Massimo Ambrosini tarafından kullanılıyor olması sebebiyle önceleri 75 numara ile forma giyeceği yolunda söylentiler çıkmışsa da daha sonra 32 numara ile forma giymiştir. | David BeckhamCard#7: Manchester United | David BeckhamCard#9: Manchester United | David Beckham#36: Beckham, 1996-97 sezonunda Mark Hughes'den aldığı 10 numaralı formayı giymeye başladı. 17 Ağustos 1996'da (bu tarih onun Premier League 'e başladığı tarihtir.) Wimbledon 'a karşı muhteşem bir gol attı. United 2-0 öndeyken, Beckham, Wimbledon'ın kalecisi Neil Sullivan'ın kaleden uzakta durduğunu fark etti ve orta sahadan attığı topu kalecinin üzerinden süzdürerek kaleye sokmayı başardı."
UEFA Şampiyonlar Ligi | Şampiyonlar Ligi | Şampiyonlar Ligi Çeyrek finaline,https://tr.wikipedia.org/wiki/UEFA_%C5%9Eampiyonlar_Ligi,5,"David Beckham#7: Beckham, kariyerine Manchester United 'te başladı, 1992'de 17 yaşında profesyonel futbolcu oldu. Onun zamanında 6 defa Premier League , 2 defa FA Cup ve 1999 yılında UEFA Şampiyonlar Ligi kazanıldı. | David Beckham#25: 7 Aralık 1994'te ilk UEFA Şampiyonlar Ligi golünü 4-0 kazandıkları Galatasaray maçında kaydetmiştir. | David Beckham#26: United, o grubu Barcelona 'nın ardında 3. sırada bitirdi ve Şampiyonlar Ligi Çeyrek finaline çıkamadı. | David Beckham#4: FIFA Yılın Futbolcusu Ödülü 'ne iki defa aday oldu ve 2004'te dünyanın yüksek ücretli futbolcusu seçildi, ayrıca Top-100 Şampiyonlar Ligi 'ne giren ilk İngiliz oldu. Beckham 2003 ve 2004 yıllarında Google 'da en çok ismi aranan kişi oldu. Bu tür küresel tanınma ile de seçkin bir reklam marka ve moda ikonu haline geldi. | David Beckham#41: 1998-1999 sezonunda, hem Premier League 'i, hem FA Cup 'u, hem de Şampiyonlar Ligi 'ni kazanarak ingiliz futbolunda bir ilke imza attılar. 1998 yılındaki Dünya Kupası 'nda kötü oynadı ve İngiltere 'den ayrılma durumu söz konusu oldu, fakat o Manchester United 'de kaldı."
ingiliz | İngiltere,https://tr.wikipedia.org/wiki/%C4%B0ngiltere,4,"David Beckham#2: Futbol kariyerinde en son Paris Saint-Germain 'de forma giymiştir. İngiltere , İspanya , Amerika Birleşik Devletleri ve Fransa olmak üzere dört ülkede lig şampiyonluğu kazanan ilk İngiliz oyuncudur. | David Beckham#15: David Robert Joseph Beckham 2 Mayıs 1975 tarihinde, Leytonstone Doğu Londra , İngiltere 'de doğdu. | David Beckham#41: 1998-1999 sezonunda, hem Premier League 'i, hem FA Cup 'u, hem de Şampiyonlar Ligi 'ni kazanarak ingiliz futbolunda bir ilke imza attılar. 1998 yılındaki Dünya Kupası 'nda kötü oynadı ve İngiltere 'den ayrılma durumu söz konusu oldu, fakat o Manchester United 'de kaldı. | David BeckhamCard#3: Leytonstone , İngiltere"
Paris Saint-Germain,https://tr.wikipedia.org/wiki/Paris_Saint-Germain_FC,4,"David Beckham#2: Futbol kariyerinde en son Paris Saint-Germain 'de forma giymiştir. İngiltere , İspanya , Amerika Birleşik Devletleri ve Fransa olmak üzere dört ülkede lig şampiyonluğu kazanan ilk İngiliz oyuncudur. | David Beckham#14: David Beckham Paris Saint-Germain ile yaşadığı son şampiyonluktan sonra futbolu bıraktığını açıklamıştır. | David Beckham#48: 29 Ocak 2013 tarihinde, Beckham, Arsenal ile antrenmanlara başladı ancak herhangi bir anlaşma yapılmayacağı açıklandı. 31 Ocak'ta Beckham, Fransız Ligue 1 takımı Paris Saint-Germain ile bir anlaşma olacağını açıkladı. | David BeckhamCard#15: Paris Saint-Germain"
Premier League,https://tr.wikipedia.org/wiki/Premier_League,4,"David Beckham#7: Beckham, kariyerine Manchester United 'te başladı, 1992'de 17 yaşında profesyonel futbolcu oldu. Onun zamanında 6 defa Premier League , 2 defa FA Cup ve 1999 yılında UEFA Şampiyonlar Ligi kazanıldı. | David Beckham#36: Beckham, 1996-97 sezonunda Mark Hughes'den aldığı 10 numaralı formayı giymeye başladı. 17 Ağustos 1996'da (bu tarih onun Premier League 'e başladığı tarihtir.) Wimbledon 'a karşı muhteşem bir gol attı. United 2-0 öndeyken, Beckham, Wimbledon'ın kalecisi Neil Sullivan'ın kaleden uzakta durduğunu fark etti ve orta sahadan attığı topu kalecinin üzerinden süzdürerek kaleye sokmayı başardı. | David Beckham#37: Charlie Miller için yapılmış ayakkabı yanlışlıkla Beckham'a verilmiş, o da bu ayakkabıyla meşhur golünü attı. 1996-97 sezonunda Premier League şampiyonluğu için takıma yardım etti ve takım arkadaşları ve meslektaşlarıyla İngiltere Yılın Genç Futbolcusu Ödülü 'nün sahibi oldu. | David Beckham#41: 1998-1999 sezonunda, hem Premier League 'i, hem FA Cup 'u, hem de Şampiyonlar Ligi 'ni kazanarak ingiliz futbolunda bir ilke imza attılar. 1998 yılındaki Dünya Kupası 'nda kötü oynadı ve İngiltere 'den ayrılma durumu söz konusu oldu, fakat o Manchester United 'de kaldı."
Los Angeles Galaxy,https://tr.wikipedia.org/wiki/Los_Angeles_Galaxy,3,"David Beckham#10: Ocak 2007'de Real Madrid'den ayrıldı ve MLS takımlarından Los Angeles Galaxy 'nin yolunu tuttu. | David Beckham#47: Beckham'ın en sevdiği numaralar olan 7 ( Manchester United ) ve 23'ün ( Real Madrid , Los Angeles Galaxy ) Milan'da Alexandre Pato ve kaptan Massimo Ambrosini tarafından kullanılıyor olması sebebiyle önceleri 75 numara ile forma giyeceği yolunda söylentiler çıkmışsa da daha sonra 32 numara ile forma giymiştir. | David BeckhamCard#12: Los Angeles Galaxy"
Real Madrid,https://tr.wikipedia.org/wiki/Real_Madrid_CF,3,"David Beckham#8: Daha sonra Manchester United 'tan Real Madrid 'e geçti, orada 4 sezon oynadı. | David Beckham#47: Beckham'ın en sevdiği numaralar olan 7 ( Manchester United ) ve 23'ün ( Real Madrid , Los Angeles Galaxy ) Milan'da Alexandre Pato ve kaptan Massimo Ambrosini tarafından kullanılıyor olması sebebiyle önceleri 75 numara ile forma giyeceği yolunda söylentiler çıkmışsa da daha sonra 32 numara ile forma giymiştir. | David BeckhamCard#11: Real Madrid"
Alex Ferguson | Ferguson,https://tr.wikipedia.org/wiki/Alex_Ferguson,2,"David Beckham#32: Beckham genç yetenekler grubunun parçası olarak, Ferguson Manchester United için 1990'larda Nicky Butt , Gary ve Phil Neville'i getirdi. | David Beckham#31: United yöneticisi Alex Ferguson genç oyuncularla mükemmel bir anlaşma imzaladı."
Leeds United,https://tr.wikipedia.org/wiki/Leeds_United_FC,2,"David Beckham#24: Aynı yıl FA Youth Cup finalinde Leeds United karşısında yenilmiş, fakat ikinci olarak bir başka madalya kazanmayı başarmıştır. | David Beckham#30: İlk gölünü Leeds United 'a attı."
FA Youth Cup,https://tr.wikipedia.org/wiki/FA_Youth_Cup,2,"David Beckham#21: Beckham, Mayıs 1992'de Crystal Palace 'a karşı FA Youth Cup 'ı Manchester United takımıyla kazanmıştır. | David Beckham#24: Aynı yıl FA Youth Cup finalinde Leeds United karşısında yenilmiş, fakat ikinci olarak bir başka madalya kazanmayı başarmıştır."
