E,U,Frekans,Kaynak_IDler
Amerika Birleşik Devletleri,(https://tr.wikipedia.org/wiki/Amerika_Birle%C5%9Fik_Devletleri),5,".us#1: .us , Amerika Birleşik Devletleri için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Ülkede en çok kullanılan CcTLD .com , .net , .org ikinci düzey alan adlarıdır. | .us#4: Amerika Birleşik Devletleri hemen hemen her eyalet ve federal bölge için bir ikinci seviye alan adları açmıştır. | İngilizce#6: Dilin Britanya Adaları 'ndan öteye yayılarak benimsenmesinde, Britanya İmparatorluğu ile Amerika Birleşik Devletleri 'nin II. Dünya Savaşı sonrasında artan ekonomik ve kültürel etkisi rol oynamıştır. | İngilizce#39: Sonraki yüzyıllarda Britanya İmparatorluğunun yayılması ve Amerika Birleşik Devletleri ’nin kültürel–ekonomik etkisi, dilin dünya geneline yayılmasını hızlandırdı. | İngilizce#44: Ana dili İngilizce olanların en fazla olduğu yer Amerika Birleşik Devletleri 'dir. Ayrıca Okyanusya 'da da çok konuşulan bir dildir. | İngilizce#50: Ana dili İngilizce olan geniş topluluklara sahip ülkeler (iç halka), çoğunluğun İngilizce konuştuğu İngiltere , Amerika Birleşik Devletleri , Avustralya , Kanada , İrlanda ve Yeni Zelanda ile önemli bir azınlığın İngilizce konuştuğu Güney Afrika'yı içerir. | İngilizce#51: En çok ana dili İngilizce olan ülkeler, azalan sırayla Amerika Birleşik Devletleri (en az 231 milyon), Birleşik Krallık (60 milyon), Kanada (19 milyon), Avustralya (en az 17 milyon), Güney Afrika (4,8 milyon), İrlanda (4,2 milyon) ve Yeni Zelanda (3,7 milyon)."
Latince,(https://tr.wikipedia.org/wiki/Latince),3,"İngilizce#33: Buna rağmen İngilizce konuşulan bölgeler çeşitli diğer halkların işgaline ve fethine uğradıkları için dil özellikle Norman Fransızcası ile Eski Norsça gibi dillerden büyük oranda etkilenmiştir. Latince ve Grekçe de İngilizce üzerinde söz varlığı açısından yoğun etkilere sahiptir. | İngilizce#35: Adını Angluslardan alan Anglosaksonlar ile Saksonların karışımı sonucu ortaya çıkan bu dil, konuşurları tarafından “ Anglik ” olarak da anıldı. Roma İmparatorluğu döneminde adalara gönderilen rahipler aracılığıyla İncil çeviri geleneği ve Latince yazı kültürü güç kazandı; 9.–10. yüzyıllarda ise İskandinav kökenli akınlar ve yerleşimler sonucunda Eski Norsça kaynaklı çok sayıda temel sözcük dile girdi ve çekim sisteminde sadeleşme görüldü. | İngilizce#36: 1066'daki Hastings Savaşı ve Fâtih William 'ın fethiyle yönetici sınıfın dili Norman Fransızcası oldu. Latince idari ve hukuki alanlarda egemenliğini sürdürürken halk gündelik yaşamda İngilizce konuşmaya devam etti. Bu iki dillilik süreci, saray, hukuk ve yönetim başta olmak üzere binlerce Fransızca–Latince kökenli alıntının İngilizceye yerleşmesini sağladı."
Fransızca,(https://tr.wikipedia.org/wiki/Frans%C4%B1zca),3,"İngilizce#98: Eskiden İngilizce, bilimsel araştırmalarda Fransızca ve Almancaya eşitti, ancak şimdi bu alana hakim. 1919'daki Versay Antlaşması müzakerelerinde bir diplomasi dili olarak Fransızca ile eşitlik sağladı. II. Dünya Savaşı ve şu anda dünya çapında diplomasi ve uluslararası ilişkilerin ana dilidir. Uluslararası Olimpiyat Komitesi de dahil olmak üzere dünya çapındaki diğer birçok uluslararası kuruluş, kuruluşun çalışma dili veya resmî dili olarak İngilizceyi belirtir. | İngilizce#101: Bir sonraki en sık bahsedilen yabancı dil olan Fransızca (Birleşik Krallık ve İrlanda'da en çok bilinen yabancı dildir), katılımcıların yüzde 12'si tarafından konuşmalarda kullanılabilir."
Felemenkçe,(https://tr.wikipedia.org/wiki/Felemenk%C3%A7e),2,"İngilizce#27: Diğer Cermen dillerinden Almanca ve Felemenkçe ile birlikte bu alt ailenin batı koluna mensup olan dil, bu grup içerisinde Friz dilleri ile beraber Anglo-Friz dilleri grubuna bağlıdır. | İngilizce#31: Eski İngilizce ise Felemenkçe ve Frizce ile bazı güçlü benzerliklere sahiptir."
II. Dünya Savaşı,(https://tr.wikipedia.org/wiki/II._D%C3%BCnya_Sava%C5%9F%C4%B1),2,"İngilizce#6: Dilin Britanya Adaları 'ndan öteye yayılarak benimsenmesinde, Britanya İmparatorluğu ile Amerika Birleşik Devletleri 'nin II. Dünya Savaşı sonrasında artan ekonomik ve kültürel etkisi rol oynamıştır. | İngilizce#98: Eskiden İngilizce, bilimsel araştırmalarda Fransızca ve Almancaya eşitti, ancak şimdi bu alana hakim. 1919'daki Versay Antlaşması müzakerelerinde bir diplomasi dili olarak Fransızca ile eşitlik sağladı. II. Dünya Savaşı ve şu anda dünya çapında diplomasi ve uluslararası ilişkilerin ana dilidir. Uluslararası Olimpiyat Komitesi de dahil olmak üzere dünya çapındaki diğer birçok uluslararası kuruluş, kuruluşun çalışma dili veya resmî dili olarak İngilizceyi belirtir."
Britanya Adaları,(https://tr.wikipedia.org/wiki/Britanya_Adalar%C4%B1),2,"İngilizce#6: Dilin Britanya Adaları 'ndan öteye yayılarak benimsenmesinde, Britanya İmparatorluğu ile Amerika Birleşik Devletleri 'nin II. Dünya Savaşı sonrasında artan ekonomik ve kültürel etkisi rol oynamıştır. | İngilizce#34: İngilizcenin atası olacak dil, Kavimler Göçü sırasında yer değiştiren Cermen kavimlerinin Britanya Adaları ’ndaki Kelt topluluklarını gerileterek bölgeye yerleşmesiyle yaygınlaştı."
Avustralya,(https://tr.wikipedia.org/wiki/Avustralya),2,".au#1: .au , Avustralya 'nın İnternet Ülke Alan Kodu ( CcTLD ) kod harfleri. | İngilizce#43: Ana dili İngilizce olanlar daha çok Amerika , Avustralya ve Büyük Britanya adalarında bulunmaktadır. | İngilizce#50: Ana dili İngilizce olan geniş topluluklara sahip ülkeler (iç halka), çoğunluğun İngilizce konuştuğu İngiltere , Amerika Birleşik Devletleri , Avustralya , Kanada , İrlanda ve Yeni Zelanda ile önemli bir azınlığın İngilizce konuştuğu Güney Afrika'yı içerir."
İrlanda,(https://tr.wikipedia.org/wiki/%C4%B0rlanda),2,".ie#1: .ie İrlanda 'nın internet ülke üst seviye alan adıdır . University College Dublin Bilgisayar Merkezi Bilişim Servislerine sponsorluk yetkisi IANA tarafından verilmiştir. 200 yılından beri yönetimini IE Domain Registry Limited (IEDR) üstlenmektedir. | İngilizce#50: Ana dili İngilizce olan geniş topluluklara sahip ülkeler (iç halka), çoğunluğun İngilizce konuştuğu İngiltere , Amerika Birleşik Devletleri , Avustralya , Kanada , İrlanda ve Yeni Zelanda ile önemli bir azınlığın İngilizce konuştuğu Güney Afrika'yı içerir. | İngilizce#100: Çoğu ülkede İngilizce resmî bir dil olmasa da, şu anda en sık yabancı dil olarak öğretilen dildir. AB ülkelerinde İngilizce, resmi dil olmadığı yirmi beş üye devletin on dokuzunda (yani, İrlanda ve Malta dışındaki ülkelerde) en çok konuşulan yabancı dildir.). 2012 resmi bir Eurobarometer anketinde (Birleşik Krallık henüz AB üyesiyken gerçekleştirildi), İngilizcenin resmi dil olduğu ülkeler dışındaki AB'de yanıt verenlerin yüzde 38'i, İngilizceyi o dilde sohbet edecek kadar iyi konuşabildiklerini söyledi."
Nijerya,(https://tr.wikipedia.org/wiki/Nijerya),2,"İngilizce#56: Kachru'nun üç daire modelinde, ""dış daire"" ülkeleri Filipinler , Jamaika , Hindistan , Pakistan , Singapur , Malezya ve Nijerya gibi ülkelerdir. | İngilizce#186: İngiliz İngilizcesine dayanmaktadır, ancak son yıllarda Amerika Birleşik Devletleri'nin etkisiyle, Amerikan İngilizcesi kökenli bazı kelimeler onu Nijerya İngilizcesine dönüştürmüştür."
Jamaika,(https://tr.wikipedia.org/wiki/Jamaika),2,"İngilizce#56: Kachru'nun üç daire modelinde, ""dış daire"" ülkeleri Filipinler , Jamaika , Hindistan , Pakistan , Singapur , Malezya ve Nijerya gibi ülkelerdir. | İngilizce#188: Jamaika , Leeward ve Windward Adaları ve Trinidad ve Tobago , Barbados , Cayman Adaları ve Belize dahil olmak üzere Britanya'nın sömürge mülkü olan Karayip adalarında da çeşitli İngilizce türleri konuşulmaktadır."
