E,U,Frekans,Kaynak_IDler
Tokelau,(https://tr.wikipedia.org/wiki/Tokelau),1,.tk#1: .tk Tokelau için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Dağıtımı dot.tk tarafından yapılmaktadır.
internet,(https://tr.wikipedia.org/wiki/%C4%B0nternet),1,".kh#1: .kh Kamboçya için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Alan adı tescilini yalnızca Kamboçya'da kayıtlı şirketler, devlet kurumları, kuruluşlar ve Kamboçya vatandaşları yapabilir. | .ga#1: .ga Gabon için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .om#1: .om Umman için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .us#1: .us , Amerika Birleşik Devletleri için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Ülkede en çok kullanılan CcTLD .com , .net , .org ikinci düzey alan adlarıdır. | .sv#1: .sv El Salvador için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .tk#1: .tk Tokelau için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Dağıtımı dot.tk tarafından yapılmaktadır."
ülke kodu,(https://tr.wikipedia.org/wiki/%C3%9Clke_kodu),1,".kh#1: .kh Kamboçya için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Alan adı tescilini yalnızca Kamboçya'da kayıtlı şirketler, devlet kurumları, kuruluşlar ve Kamboçya vatandaşları yapabilir. | .ga#1: .ga Gabon için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .om#1: .om Umman için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .us#1: .us , Amerika Birleşik Devletleri için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Ülkede en çok kullanılan CcTLD .com , .net , .org ikinci düzey alan adlarıdır. | .sv#1: .sv El Salvador için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .tk#1: .tk Tokelau için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Dağıtımı dot.tk tarafından yapılmaktadır."
üst seviye alan adıdır,(https://tr.wikipedia.org/wiki/%C3%9Cst_seviye_alan_ad%C4%B1),1,".kh#1: .kh Kamboçya için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Alan adı tescilini yalnızca Kamboçya'da kayıtlı şirketler, devlet kurumları, kuruluşlar ve Kamboçya vatandaşları yapabilir. | .ga#1: .ga Gabon için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .om#1: .om Umman için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .us#1: .us , Amerika Birleşik Devletleri için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Ülkede en çok kullanılan CcTLD .com , .net , .org ikinci düzey alan adlarıdır. | .sv#1: .sv El Salvador için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .tk#1: .tk Tokelau için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Dağıtımı dot.tk tarafından yapılmaktadır."
CcTLD,(https://tr.wikipedia.org/wiki/%C4%B0nternet_%C3%BClke_%C3%BCst_seviye_alan_ad%C4%B1),1,"DNS#39: En üste .com , .org , .net , .int , .edu , .info , .biz , .aero , .travel , .jobs , .gov , .mil gibi "" jenerik "" üst düzey alanlarla ( gTLD ) .tr , .us , .de , .uk , .jp , .az gibi ülke alanlarından ( CcTLD ) oluşur. | .kh#1: .kh Kamboçya için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Alan adı tescilini yalnızca Kamboçya'da kayıtlı şirketler, devlet kurumları, kuruluşlar ve Kamboçya vatandaşları yapabilir. | .ga#1: .ga Gabon için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .om#1: .om Umman için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .us#1: .us , Amerika Birleşik Devletleri için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Ülkede en çok kullanılan CcTLD .com , .net , .org ikinci düzey alan adlarıdır. | .sv#1: .sv El Salvador için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .tk#1: .tk Tokelau için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Dağıtımı dot.tk tarafından yapılmaktadır."
dot.tk,(https://tr.wikipedia.org/w/index.php?title=Dot.tk&action=edit&redlink=1),1,.tk#1: .tk Tokelau için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Dağıtımı dot.tk tarafından yapılmaktadır.
HTML,(https://tr.wikipedia.org/wiki/HTML),1,".tk#4: Adın kendisine ek olarak, kullanıcılar web trafiğini HTML çerçevelerini ve e-posta trafiğini kullanarak, kullanıcı oturumu başına maksimum 250 adresle iletebilir, kendi üçüncü taraf sunucuları aracılığıyla dot.tk sunucularını kullanarak tam DNS kullanabilir."
e-posta,(https://tr.wikipedia.org/wiki/E-posta),1,".tk#4: Adın kendisine ek olarak, kullanıcılar web trafiğini HTML çerçevelerini ve e-posta trafiğini kullanarak, kullanıcı oturumu başına maksimum 250 adresle iletebilir, kendi üçüncü taraf sunucuları aracılığıyla dot.tk sunucularını kullanarak tam DNS kullanabilir."
DNS,(https://tr.wikipedia.org/wiki/DNS),1,".tk#4: Adın kendisine ek olarak, kullanıcılar web trafiğini HTML çerçevelerini ve e-posta trafiğini kullanarak, kullanıcı oturumu başına maksimum 250 adresle iletebilir, kendi üçüncü taraf sunucuları aracılığıyla dot.tk sunucularını kullanarak tam DNS kullanabilir."
nefret söylemi,(https://tr.wikipedia.org/wiki/Nefret_s%C3%B6ylemi),1,".tk#5: Ücretsiz alan adları, cinsel içerik barındıran sitelerin yasaklanması, uyuşturucu kullanımı, nefret söylemi , ateşli silahlar ve spam veya telif hakkı ihlali için içerik kısıtlamaları vardır. dot.tk, ücretsiz alan adlarının düzenli bir ziyaretçi trafiğine sahip olmasını gerektirir ve bir alanın yönlendirme hedefi çalışmıyorsa (geçici olarak bile olsa) alan çevrimdışına alınır."
