E,U,Frekans,Kaynak_IDler
hidrojen,(https://tr.wikipedia.org/wiki/Hidrojen),2,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur. | Uzay#13: Aslında bu sıcaklık Büyük Patlamadan sonra ortaya çıkan ışınımın günümüze gelen dalga boyudur . Galaksiler arasındaki plazma , evrendeki baryonik maddenin yaklaşık yarısını oluşturur. Metreküp başına bir hidrojen atomundan daha az sayı yoğunluğuna ve milyonlarca Kelvin sıcaklığına sahiptir."
plazma,(https://tr.wikipedia.org/wiki/Plazma),2,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur. | Uzay#13: Aslında bu sıcaklık Büyük Patlamadan sonra ortaya çıkan ışınımın günümüze gelen dalga boyudur . Galaksiler arasındaki plazma , evrendeki baryonik maddenin yaklaşık yarısını oluşturur. Metreküp başına bir hidrojen atomundan daha az sayı yoğunluğuna ve milyonlarca Kelvin sıcaklığına sahiptir."
karanlık enerji,(https://tr.wikipedia.org/wiki/Karanl%C4%B1k_enerji),2,"Uzay#15: Araştırmalar, çoğu galaksideki kütlenin %90'ının karanlık madde adı verilen bilinmeyen bir biçimde olduğunu ve diğer maddelerle yerçekimsel kuvvetler yoluyla etkileşime girebilen ancak elektromanyetik kuvvetlerle etkileşime girmeyen bir maddenin yoğunluğu ile birlikte olduğu yönündedir. Teleskoplar yardımıyla yapılan gözlemler sonucu, gözlemlenebilir evrendeki kütle-enerjisinin çoğunun karanlık enerji olduğu, çok az ayırt edilebilen bir tür vakum enerjisi olduğunu göstermektedir. | Uzay#16: Evrenin 4,9% normal madde, 26,8% karanlık madde ve 68,3% karanlık enerji ile oluştuğu bilim insanlarınca tahmin edilmiştir."
karanlık madde,(https://tr.wikipedia.org/wiki/Karanl%C4%B1k_madde),2,"Uzay#15: Araştırmalar, çoğu galaksideki kütlenin %90'ının karanlık madde adı verilen bilinmeyen bir biçimde olduğunu ve diğer maddelerle yerçekimsel kuvvetler yoluyla etkileşime girebilen ancak elektromanyetik kuvvetlerle etkileşime girmeyen bir maddenin yoğunluğu ile birlikte olduğu yönündedir. Teleskoplar yardımıyla yapılan gözlemler sonucu, gözlemlenebilir evrendeki kütle-enerjisinin çoğunun karanlık enerji olduğu, çok az ayırt edilebilen bir tür vakum enerjisi olduğunu göstermektedir. | Uzay#16: Evrenin 4,9% normal madde, 26,8% karanlık madde ve 68,3% karanlık enerji ile oluştuğu bilim insanlarınca tahmin edilmiştir."
göz,(https://tr.wikipedia.org/wiki/G%C3%B6z),2,"Uzay#26: Uzaysal yönelim, baş - göz ve el - göz koordinasyonu, denge, hareketliliğini etkiler."
ABD,(https://tr.wikipedia.org/wiki/Amerika_Birle%C5%9Fik_Devletleri),2,".us#8: Ayrıca ABD topraklarının kendi ccTLDs vardır. .as Amerikan Samoası için, .gu Guam , Kuzey Mariana Adaları .mp , .pr Puerto Rico için ve .vi Virgin Adaları için kullanılmaktadır. | .mil#1: .mil ( mil itary = askeri) ABD askeri site bağlantısının olduğunu belirtir. | Vikipedi#9: Vikipedi'nin ana sunucuları ABD 'nin Florida Eyaleti'ndeki Tampa kentinde, diğer başlıca sunucuları ise Hollanda 'nın Amsterdam , Fransa 'nın Paris ve Güney Kore 'nin Seul kentinde bulunmaktadır. | Uzay#37: 1932'de Karl Guthe Jansky adındaki bir mühendisin rastlantı sonucu bulduğu uzaydan gelen radyo yayınları, daha sonraki yıllarda radyoteleskopların doğmasına ve uzayın derinliklerinin dinlenmesine, bu radyo yayınlarının kaynaklarının ve nedenlerinin bulunmasına yol açtı. [kaynak belirtilmeli] II. Dünya Savaşı sırasında Almanların geliştirdiği V-1 ve V-2 füzeleri daha sonraki yıllarda uzayın keşfi için yapılacak çalışmalarda büyük bir adım oldu. 1947-1956 yılları arasında özellikle ABD , uzay çalışmalarına büyük hız verdi. | Uzay#44: Özellikle, insanlı uzay aracı yapabilen ABD , Rusya ve Çin bu yarışın içindedir. Hindistan ise insan taşıyan mekik geliştirerek bu yarışa katılma aşamasındadır."
Dünya atmosferinin,(https://tr.wikipedia.org/wiki/D%C3%BCnya_atmosferi),1,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur."
Arapçadan,(https://tr.wikipedia.org/wiki/Arap%C3%A7a),1,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur."
nötrinolar,(https://tr.wikipedia.org/wiki/N%C3%B6trinolar),1,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur."
Kozmik toz,(https://tr.wikipedia.org/wiki/Kozmik_toz),1,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur."
kozmik ışınlar,(https://tr.wikipedia.org/wiki/Kozmik_%C4%B1%C5%9F%C4%B1nlar),1,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur."
vakum,(https://tr.wikipedia.org/wiki/Vakum),1,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur."
Atatürk,(https://tr.wikipedia.org/wiki/Atat%C3%BCrk),1,Uzay#2: Türkçe uz- kökünden türetilmiş olan kelimeye ilk defa Atatürk tarafından yazılarak 1937 yılında basılmış olan Geometri kitabında rastlanmaktadır.
Geometri,(https://tr.wikipedia.org/wiki/Geometri_(kitap)),1,Uzay#2: Türkçe uz- kökünden türetilmiş olan kelimeye ilk defa Atatürk tarafından yazılarak 1937 yılında basılmış olan Geometri kitabında rastlanmaktadır.
Akil Muhtar Özden,(https://tr.wikipedia.org/wiki/Akil_Muhtar_%C3%96zden),1,Uzay#4: Ayrıca öncesinde 1937 yılında Dolmabahçe Sarayı'nda gerçekleştirilen terim üretme çalışmaları için Atatürk'ün başkanlığında toplanan Dil Komisyonu'na davet edilerek katılan Akil Muhtar Özden 'in not defterinde de bu sözcüğe rastlanmaktadır.
John Milton,(https://tr.wikipedia.org/wiki/John_Milton),1,"Uzay#8: Bu anlamdaki ilk kaydedilen kullanım, John Milton 'ın 1667'de yayımlanan Kayıp Cennet ( Paradise Lost ) adlı epik şiirinde görülmektedir."
Emmeline Stuart-Wortley,(https://tr.wikipedia.org/w/index.php?title=Emmeline_Stuart-Wortley&action=edit&redlink=1),1,"Uzay#9: Dış uzay terimi, İngiliz şair Emmeline Stuart-Wortley 'nin 1842 tarihli ""The Maiden of Moscow"" adlı şiirinde yer alsa da, astronomide bu terimi ilk kez 1845 yılında Alexander von Humboldt kullanmıştır."
Alexander von Humboldt,(https://tr.wikipedia.org/wiki/Alexander_von_Humboldt),1,"Uzay#9: Dış uzay terimi, İngiliz şair Emmeline Stuart-Wortley 'nin 1842 tarihli ""The Maiden of Moscow"" adlı şiirinde yer alsa da, astronomide bu terimi ilk kez 1845 yılında Alexander von Humboldt kullanmıştır."
H. G. Wells,(https://tr.wikipedia.org/wiki/H._G._Wells),1,"Uzay#10: Terim, 1901'den sonra H. G. Wells 'in yazıları sayesinde yaygınlaşmıştır. Theodore von Kármán , uzay araçlarının atmosferik sürtünmeden yeterince uzak koşullara ulaştığı irtifaları tanımlamak için serbest uzay (free space) terimini kullanmış, bu terimi hava sahasından ayırmış ve ülkelerin egemenlik alanları dışında kalan yasal bir uzay bölgesi olarak tanımlamıştır."
Theodore von Kármán,(https://tr.wikipedia.org/wiki/Theodore_von_K%C3%A1rm%C3%A1n),1,"Uzay#10: Terim, 1901'den sonra H. G. Wells 'in yazıları sayesinde yaygınlaşmıştır. Theodore von Kármán , uzay araçlarının atmosferik sürtünmeden yeterince uzak koşullara ulaştığı irtifaları tanımlamak için serbest uzay (free space) terimini kullanmış, bu terimi hava sahasından ayırmış ve ülkelerin egemenlik alanları dışında kalan yasal bir uzay bölgesi olarak tanımlamıştır."
gök cisimleri,(https://tr.wikipedia.org/wiki/Astronomik_cisim),1,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur."
helyum,(https://tr.wikipedia.org/wiki/Helyum),1,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur."
elektromanyetik radyasyon,(https://tr.wikipedia.org/wiki/Elektromanyetik_radyasyon),1,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur."
manyetik alanlar,(https://tr.wikipedia.org/wiki/Manyetik_alan),1,"Uzay#1: Uzay veya dış uzay ( Arapçadan geçtiği haliyle feza ), Dünya atmosferinin ötesinde ve gök cisimleri arasında var olan genişliktir. [a] Uzay düşüncelerin aksine tamamıyla boş bir alan değildir; son derece düşük parçacık yoğunlukları içerir ve ağırlıklı olarak hidrojen , helyum ve plazma , ayrıca elektromanyetik radyasyon , manyetik alanlar , nötrinolar , Kozmik toz ve kozmik ışınlar içeren neredeyse mükemmel bir vakum oluşturur."
kelvindir,(https://tr.wikipedia.org/wiki/Kelvin),1,"Uzay#12: Büyük Patlama 'nın kozmik fon radyasyonuyla belirlenen uzayın taban sıcaklığı 2,7°K kelvindir . bu da (−270,45 °C - 454,81 °F ) tekabül etmektedir."
kozmik fon radyasyonuyla,(https://tr.wikipedia.org/wiki/Kozmik_fon_radyasyonu),1,"Uzay#12: Büyük Patlama 'nın kozmik fon radyasyonuyla belirlenen uzayın taban sıcaklığı 2,7°K kelvindir . bu da (−270,45 °C - 454,81 °F ) tekabül etmektedir."
Büyük Patlama,(https://tr.wikipedia.org/wiki/B%C3%BCy%C3%BCk_Patlama),1,"Uzay#12: Büyük Patlama 'nın kozmik fon radyasyonuyla belirlenen uzayın taban sıcaklığı 2,7°K kelvindir . bu da (−270,45 °C - 454,81 °F ) tekabül etmektedir."
hava sahasından,(https://tr.wikipedia.org/wiki/Hava_sahas%C4%B1),1,"Uzay#10: Terim, 1901'den sonra H. G. Wells 'in yazıları sayesinde yaygınlaşmıştır. Theodore von Kármán , uzay araçlarının atmosferik sürtünmeden yeterince uzak koşullara ulaştığı irtifaları tanımlamak için serbest uzay (free space) terimini kullanmış, bu terimi hava sahasından ayırmış ve ülkelerin egemenlik alanları dışında kalan yasal bir uzay bölgesi olarak tanımlamıştır."
Galaksiler,(https://tr.wikipedia.org/wiki/Galaksi),1,"Uzay#13: Aslında bu sıcaklık Büyük Patlamadan sonra ortaya çıkan ışınımın günümüze gelen dalga boyudur . Galaksiler arasındaki plazma , evrendeki baryonik maddenin yaklaşık yarısını oluşturur. Metreküp başına bir hidrojen atomundan daha az sayı yoğunluğuna ve milyonlarca Kelvin sıcaklığına sahiptir."
baryonik,(https://tr.wikipedia.org/wiki/Baryon),1,"Uzay#13: Aslında bu sıcaklık Büyük Patlamadan sonra ortaya çıkan ışınımın günümüze gelen dalga boyudur . Galaksiler arasındaki plazma , evrendeki baryonik maddenin yaklaşık yarısını oluşturur. Metreküp başına bir hidrojen atomundan daha az sayı yoğunluğuna ve milyonlarca Kelvin sıcaklığına sahiptir."
Büyük Patlamadan,(https://tr.wikipedia.org/wiki/B%C3%BCy%C3%BCk_Patlama),1,"Uzay#13: Aslında bu sıcaklık Büyük Patlamadan sonra ortaya çıkan ışınımın günümüze gelen dalga boyudur . Galaksiler arasındaki plazma , evrendeki baryonik maddenin yaklaşık yarısını oluşturur. Metreküp başına bir hidrojen atomundan daha az sayı yoğunluğuna ve milyonlarca Kelvin sıcaklığına sahiptir."
