E,U,Frekans,Kaynak_IDler
İngilizce,(https://tr.wikipedia.org/wiki/%C4%B0ngilizce),4,"DNS#1: DNS ( İngilizce : Domain Name System , Türkçe : Alan Adı Sistemi ), internet uzayını bölümlemeye, bölümleri adlandırmaya ve bölümler arası iletişimi organize etmeye yarayan, bilgisayar, servis, internet veya özel bir ağa bağlı herhangi bir kaynak için hiyerarşik dağıtılmış bir adlandırma sistemidir. | .us#5: Birinci seviye içinde sadece Amerika Birleşik Devletleri'nin İngilizce kısaltmasının ilk iki harfi alınmıştır U nited S tates . | .sg#3: Singapur Ağ Bilgi Merkezi ( İngilizce : Singapore Network Information Centre ) (SGNIC) tarafından yönetilir. | Vikipedi#1: Vikipedi ( İngilizce : Wikipedia ), kullanıcıları tarafından ortaklaşa olarak birçok dilde hazırlanan; özgür, bağımsız, ücretsiz, reklamsız ve kâr amacı gütmeyen bir internet ansiklopedisidir . MediaWiki yazılımı kullanılarak hazırlanmaktadır. | .am#5: Ayrıca sonu ""am"" ile biten İngilizce kelimeler için şekilli alan adı oluşturmak için kullanılabilir. | IP adresi#1: IP adresi ( İngilizce : Internet Protocol address ), interneti ya da TCP/IP protokolünü kullanan diğer paket anahtarlamalı ağlara bağlı cihazların, ağ üzerinden birbirleri ile veri alışverişi yapmak için kullandıkları adres. | IP adresi#36: Versiyon ya da sürüm ( İngilizce : version ), kullanılan IP versiyonunu gösterir. | IP adresi#51: Ayrıca IPv4 başlık formatı ( İngilizce : header format ), IPv6 formatına göre daha basit yapıdadır. | IP adresi#56: IPv6'da NAT ’a ( İngilizce : Network Address Translation ) duyulan ihtiyaç azalmıştır. | Dosya aktarım iletişim kuralı#2: Dosya aktarım iletişim kuralı , ( İngilizce : F ile T ransfer P rotocol; FTP ), bir veri yığınının - ASCII , EBCDIC ve binary- bir uç aygıttan diğerine iletimi için kullanılmaktadır. | .ag#6: Ayrıca, -ag ile biten İngilizce kelimeler için diğer etki alanını kesmek için potansiyel bir kullanımı da vardır. | ARPANET#1: ARPANET ( İngilizce : Advanced Research Projects Agency Network 'ün kısaltması), bir bilgisayar ağıdır ve ilk olarak 1968'den itibaren Amerika Birleşik Devletleri Hava Kuvvetleri adına Massachusetts Teknoloji Enstitüsü ve ABD Savunma Bakanlığı liderliğindeki küçük bir araştırmacı grubu tarafından geliştirilmiştir. | .ch#5: Alan adı, Çin 'de ( İngilizce : China ) benzerlik sebebiyle oldukça sık kullanılmaktadır. | Yönlendirici#1: Yönlendirici ( İngilizce : router ), aynı ağ iletişim kurallarını kullanan iki bilgisayar ağı arasında veri çerçevelerinin iletimini sağlayan ağ donanımıdır . | Yönlendirici#7: Yolun seçimi için yöneltici yöneltme iletişim kurallarını ( İngilizce : routing protocol ) kullanarak diğer yönelticilerle bağlantı kurar ve gelen bilgileri yöneltme tablosuna ekler. | Yönlendirici#10: Her ne kadar IP iletişim kuralı günümüzde en çok bilinen yöneltilebilir iletişim kuralıysa da AppleTalk , IPX SNA, XNS ve DECnet gibi başka iletişim kurallarının da yöneltilebilir özelliği olduğunu unutmamak gerekir. Yöneltilebilir iletişim kuralı ( İngilizce : routable protocol ) ve yöneltme iletişim kuralı ( İngilizce : routing protocol ) birbirleriyle karıştırılmaması gereken farklı kavramlardır."
ağ geçidi,(https://tr.wikipedia.org/wiki/A%C4%9F_ge%C3%A7idi),3,"Yönlendirici#9: Eğer gelen bir veri paketinin hedefi yöneltme tablosu ile belirlenemiyorsa ve bu durum için standart bir ağ geçidi tanımlanmamışsa, yöneltme işlemi başarısızlıkla sonuçlanmış olur. Aksi takdirde paket hedefe ya da hedefin bağlı olduğu varsayılan yönelticiye gönderilir. | Yönlendirici#15: Her ne kadar günlük yaşamda ve bazı işletim sistemlerinde ağ geçidi ve yöneltici aynı anlamda kullanılıyorsa da, ağ geçidi OSI yedi katman modelinin dördüncü ve yukarısındaki katmanlarında uygulama bulur. Ağ geçidi farklı ağ iletişim kuralı ( TCP/IP ve SNA gibi) kullanan iki ağı birbirine bağlamakta kullanılabilir. İnternet üzerinden normal telefon numaralarının aranabildiği VoIP uygulamalarında da telekomunikasyon ağını internete bağlayan ağ geçitleri kullanılmaktadır."
OSI yedi katman modelinin,(https://tr.wikipedia.org/wiki/OSI_Modeli),2,"Yönlendirici#2: Yönlendirme için OSI yedi katman modelinin üçüncüsü olan ağ katmanı kullanılır. | Yönlendirici#15: Her ne kadar günlük yaşamda ve bazı işletim sistemlerinde ağ geçidi ve yöneltici aynı anlamda kullanılıyorsa da, ağ geçidi OSI yedi katman modelinin dördüncü ve yukarısındaki katmanlarında uygulama bulur. Ağ geçidi farklı ağ iletişim kuralı ( TCP/IP ve SNA gibi) kullanan iki ağı birbirine bağlamakta kullanılabilir. İnternet üzerinden normal telefon numaralarının aranabildiği VoIP uygulamalarında da telekomunikasyon ağını internete bağlayan ağ geçitleri kullanılmaktadır."
iletişim kurallarını,(https://tr.wikipedia.org/wiki/%C4%B0leti%C5%9Fim_protokol%C3%BC),1,"Yönlendirici#1: Yönlendirici ( İngilizce : router ), aynı ağ iletişim kurallarını kullanan iki bilgisayar ağı arasında veri çerçevelerinin iletimini sağlayan ağ donanımıdır ."
ağ donanımıdır,(https://tr.wikipedia.org/wiki/A%C4%9F_donan%C4%B1m%C4%B1),1,"Yönlendirici#1: Yönlendirici ( İngilizce : router ), aynı ağ iletişim kurallarını kullanan iki bilgisayar ağı arasında veri çerçevelerinin iletimini sağlayan ağ donanımıdır ."
bilgisayar ağı,(https://tr.wikipedia.org/wiki/Bilgisayar_a%C4%9F%C4%B1),1,"URL#4: Her URL web kaynağına bilgisayar ağı üzerinde konumu belirleyen referanstır ve kurtarması için mekanizmadır. | Yönlendirici#1: Yönlendirici ( İngilizce : router ), aynı ağ iletişim kurallarını kullanan iki bilgisayar ağı arasında veri çerçevelerinin iletimini sağlayan ağ donanımıdır ."
ağ katmanı,(https://tr.wikipedia.org/wiki/A%C4%9F_tabakas%C4%B1_(protokol)),1,Yönlendirici#2: Yönlendirme için OSI yedi katman modelinin üçüncüsü olan ağ katmanı kullanılır.
arayüzü,(https://tr.wikipedia.org/wiki/Kullan%C4%B1c%C4%B1_aray%C3%BCz%C3%BC),1,Yönlendirici#3: Genellikle bu iş için özel üretilmiş donanımlar varsa da birden çok arayüzü olan bilgisayarlar da yazılım desteğiyle yöneltici olarak çalışabilirler.
arayüz,(https://tr.wikipedia.org/wiki/Aray%C3%BCz),1,Yönlendirici#4: Bir yöneltici iki veya daha fazla ağ arasındaki kesişme noktasıdır ve parçası olduğu her ağ için bir arayüz taşır.
yöneltme iletişim kurallarını,(https://tr.wikipedia.org/wiki/Y%C3%B6neltme_ileti%C5%9Fim_kural%C4%B1),1,Yönlendirici#7: Yolun seçimi için yöneltici yöneltme iletişim kurallarını ( İngilizce : routing protocol ) kullanarak diğer yönelticilerle bağlantı kurar ve gelen bilgileri yöneltme tablosuna ekler.
