E,U,Frekans,Kaynak_IDler
Türkçe Vikipedi,(https://tr.wikipedia.org/wiki/T%C3%BCrk%C3%A7e_Vikipedi),2,"Vikipedi#80: Dönemin Türkiye başbakanı Recep Tayyip Erdoğan , türban ile ilgili bir demecinde Türkçe Vikipedi 'yi kaynak göstermiştir. | Vikipedi#90: Yanlışlar her ikisinde de var ama Türkçe Vikipedi özensizlik, ilgisizlik üzerine inşa edilmiş."
Bilgi Teknolojileri ve İletişim Kurumu,(https://tr.wikipedia.org/wiki/Bilgi_Teknolojileri_ve_%C4%B0leti%C5%9Fim_Kurumu),2,"Vikipedi#86: Vikipedi'ye Türkiye'den erişim engelinin , 15 Ocak 2020'de Türkiye Cumhuriyeti Anayasa Mahkemesi kararının ardından Bilgi Teknolojileri ve İletişim Kurumu tarafından kaldırılmasının ardından, 23 Ocak 2020'de Habertürk gazetesi yazarlarından Fatih Altaylı “Davutoğlu’nun Anımsattıkları” başlıklı bir yazı kaleme almıştır. | Vikipedi#94: 29 Nisan 2017'de Vikipedi'ye Türkiye'den erişim Bilgi Teknolojileri ve İletişim Kurumu tarafından idari tedbir uygulanmak suretiyle engellenmiştir . 2 yıl 8 ay 17 gün aradan sonra (992 gün), 15 Ocak 2020 tarihinde Türkiye saati ile 22.30'da Anayasa Mahkemesi kararıyla yeniden erişime açılmıştır."
Jimmy Wales,(https://tr.wikipedia.org/wiki/Jimmy_Wales),2,"Vikipedi#3: Kurucularından Jimmy Wales , Vikipedi'yi, ""Dünya üzerindeki her insana kendi dilinde, en üst kalitede, bedava bir ansiklopedi oluşturma ve dağıtma uğraşısı"" olarak tanımlamaktadır. | VikipediCard#4: Jimmy Wales Larry Sanger"
İngilizce,(https://tr.wikipedia.org/wiki/%C4%B0ngilizce),1,"DNS#1: DNS ( İngilizce : Domain Name System , Türkçe : Alan Adı Sistemi ), internet uzayını bölümlemeye, bölümleri adlandırmaya ve bölümler arası iletişimi organize etmeye yarayan, bilgisayar, servis, internet veya özel bir ağa bağlı herhangi bir kaynak için hiyerarşik dağıtılmış bir adlandırma sistemidir. | .us#5: Birinci seviye içinde sadece Amerika Birleşik Devletleri'nin İngilizce kısaltmasının ilk iki harfi alınmıştır U nited S tates . | .sg#3: Singapur Ağ Bilgi Merkezi ( İngilizce : Singapore Network Information Centre ) (SGNIC) tarafından yönetilir. | Vikipedi#1: Vikipedi ( İngilizce : Wikipedia ), kullanıcıları tarafından ortaklaşa olarak birçok dilde hazırlanan; özgür, bağımsız, ücretsiz, reklamsız ve kâr amacı gütmeyen bir internet ansiklopedisidir . MediaWiki yazılımı kullanılarak hazırlanmaktadır."
MediaWiki,(https://tr.wikipedia.org/wiki/MediaWiki),1,"Vikipedi#1: Vikipedi ( İngilizce : Wikipedia ), kullanıcıları tarafından ortaklaşa olarak birçok dilde hazırlanan; özgür, bağımsız, ücretsiz, reklamsız ve kâr amacı gütmeyen bir internet ansiklopedisidir . MediaWiki yazılımı kullanılarak hazırlanmaktadır."
ansiklopedisidir,(https://tr.wikipedia.org/wiki/Ansiklopedi),1,"Vikipedi#1: Vikipedi ( İngilizce : Wikipedia ), kullanıcıları tarafından ortaklaşa olarak birçok dilde hazırlanan; özgür, bağımsız, ücretsiz, reklamsız ve kâr amacı gütmeyen bir internet ansiklopedisidir . MediaWiki yazılımı kullanılarak hazırlanmaktadır."
internet,(https://tr.wikipedia.org/wiki/%C4%B0nternet),1,".kh#1: .kh Kamboçya için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Alan adı tescilini yalnızca Kamboçya'da kayıtlı şirketler, devlet kurumları, kuruluşlar ve Kamboçya vatandaşları yapabilir. | .ga#1: .ga Gabon için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .om#1: .om Umman için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .us#1: .us , Amerika Birleşik Devletleri için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Ülkede en çok kullanılan CcTLD .com , .net , .org ikinci düzey alan adlarıdır. | .sv#1: .sv El Salvador için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .tk#1: .tk Tokelau için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Dağıtımı dot.tk tarafından yapılmaktadır. | .kw#1: .kw Kuveyt için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .ci#1: .ci Fildişi Sahili için internet ülke kodu üst seviye alan adıdır . ( CcTLD ). | .gf#1: .gf Fransız Guyanası için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .sj#1: .sj Svalbard ve Jan Mayen Adaları için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Kullanılmıyor | .st#1: .st São Tomé ve Príncipe için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .fo#1: .fo Faroe Adaları için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .tj#1: .tj Tacikistan için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .do#1: .do Dominik Cumhuriyeti için internet ülke kodu üst seviye alan adıdır ( CcTLD ). | .qa#1: .qa Katar için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | Veritabanı#5: Bunların dışında internet sitelerindeki üyelik sistemleri, akademik dergilerin ve üniversitelerin tez yönetim sistemleri de veritabanı kullanımına örnektir. | .bz#1: .bz Belize için internet ülke kodu üst seviye alan adıdır . ( CcTLD ). | .bw#1: .bw Botsvana için internet ülke kodu üst seviye alan adıdır . | .sy#1: .sy Suriye için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .cx#1: .cx Christmas Adası için internet ülke kodu üst seviye alan adıdır ( CcTLD ). | .jo#1: .jo Ürdün için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) 1997 yılında oluşturulmuş ve Ürdün İletişim Komisyonu (Telecommunications Regulatory Commission - TRC) tarafından yönetilmektedir. | .tz#1: .tz , Tanzanya için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) Her ülkenin internet alanında bir ülke kodu ve üst seviye alan kodu bulunmaktadır. | .ly#1: .ly Libya için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .zr#1: .zr Zaire için ayrılmış olan internet ülke kodu üst seviye alan adıydı ( CcTLD ). | .ma#1: .ma Fas için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .pw#1: .pw Palau için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .gd#1: .gd Grenada için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .tt#1: .tt , Trinidad ve Tobago için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .mg#1: .mg Madagaskar için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | .sm#1: .sm San Marino için internet ülke kodu üst seviye alan adıdır . ( CcTLD ) | Vikipedi#1: Vikipedi ( İngilizce : Wikipedia ), kullanıcıları tarafından ortaklaşa olarak birçok dilde hazırlanan; özgür, bağımsız, ücretsiz, reklamsız ve kâr amacı gütmeyen bir internet ansiklopedisidir . MediaWiki yazılımı kullanılarak hazırlanmaktadır."
Hawaii dilindeki,(https://tr.wikipedia.org/wiki/Hawaii_dili),1,"Vikipedi#4: Vikipedi sözcüğü, viki ve pedi sözcüklerinin birleşiminden oluşur. "" Viki "", Hawaii dilindeki ""wiki wiki"" ( hızlı veya bilgi amaçlı ) sözcüğünden türetilmiştir. "" Pedi "" ise, Antik Yunan Medeniyeti'nde ""kapsamlı kültürel eğitim sistemi"" anlamına gelen paideia sözcüğünden gelir."
İngilizce Vikipedi,(https://tr.wikipedia.org/wiki/%C4%B0ngilizce_Vikipedi),1,"Vikipedi#7: Ancak 2005'te yapılan bir araştırmada, İngilizce Vikipedi 'deki ""doğal bilgiler üzerine"" girdilerin doğruluğu, Britannica Ansiklopedisi ile aynı seviyede bulunmuştur."
Britannica Ansiklopedisi,(https://tr.wikipedia.org/wiki/Encyclop%C3%A6dia_Britannica),1,"Vikipedi#7: Ancak 2005'te yapılan bir araştırmada, İngilizce Vikipedi 'deki ""doğal bilgiler üzerine"" girdilerin doğruluğu, Britannica Ansiklopedisi ile aynı seviyede bulunmuştur."
